treated1fb	treated2fb	treated3fb	untreated1fb	untreated2fb	untreated3fb	untreated4fb
FBgn0000003	0	1	1	0	0	0	0
FBgn0000008	118	139	77	89	142	84	76
FBgn0000014	0	10	0	1	1	0	0
FBgn0000015	0	0	0	0	0	1	2
FBgn0000017	4852	4853	3710	4640	7754	4026	3425
FBgn0000018	572	497	322	552	663	272	321
FBgn0000022	0	0	0	0	1	0	0
FBgn0000024	5	10	7	9	115	4	3
FBgn0000028	0	2	1	0	1	0	0
FBgn0000032	1480	1245	1111	1726	1772	878	914
FBgn0000036	4	0	1	1	0	0	0
FBgn0000037	13	22	18	14	24	10	5
FBgn0000038	0	0	0	0	0	0	0
FBgn0000039	0	2	1	0	1	0	0
FBgn0000042	99525	126204	85269	106205	104480	47311	54251
FBgn0000043	43642	51465	35108	31875	35321	16349	18641
FBgn0000044+FBgn0065059	78	83	17	16	89	15	13
FBgn0000045	29	15	6	0	63	1	5
FBgn0000046	115	62	13	8	70	14	14
FBgn0000047	20	15	4	2	28	4	4
FBgn0000052	2408	3011	2076	2933	3157	1754	2058
FBgn0000053	2572	3080	2390	2295	2599	1538	1783
FBgn0000054	833	809	692	918	1057	586	610
FBgn0000055+FBgn0000056	7	2	5	6	16	1	11
FBgn0000057	778	915	626	759	979	496	569
FBgn0000061	6	1	1	0	1	1	4
FBgn0000063	564	533	433	484	632	268	307
FBgn0000064	10873	10975	9997	8097	12133	6349	6725
FBgn0000071	775	822	645	78	151	86	96
FBgn0000075	2	2	1	1	4	2	2
FBgn0000077	255	261	196	254	310	126	188
FBgn0000078	14	30	18	37	55	25	37
FBgn0000079	65	153	110	151	199	192	193
FBgn0000083	6785	6711	5771	6949	8680	4141	5286
FBgn0000084	1674	2367	1817	1950	2428	1578	1807
FBgn0000092	20	16	17	8	16	9	10
FBgn0000094	40	17	17	19	20	25	11
FBgn0000097	3998	3818	2745	2853	4987	2440	2274
FBgn0000099	5	1	0	1	2	3	1
FBgn0000100	28002	32528	21641	29000	40307	18195	23289
FBgn0000108	58	64	59	20	81	58	55
FBgn0000109	247	119	125	251	234	99	153
FBgn0000114	5	2	5	0	11	4	1
FBgn0000115	780	728	738	736	994	466	517
FBgn0000116	893	1457	883	411	531	302	288
FBgn0000117	13244	15285	12691	11223	16411	8708	9765
FBgn0000119	769	776	554	747	907	489	572
FBgn0000120	0	0	0	0	0	0	0
FBgn0000121	20	8	5	7	20	7	5
FBgn0000137	1	0	0	0	0	0	0
FBgn0000139	669	688	690	1020	1359	614	770
FBgn0000140	1306	1311	814	1207	1515	651	652
FBgn0000142	2126	2308	1899	2168	2989	1680	1529
FBgn0000146	2876	2418	2029	1876	2361	1177	1318
FBgn0000147	658	650	436	460	532	233	337
FBgn0000150	10884	12766	10265	9198	11147	6572	8082
FBgn0000152	671	711	697	713	703	478	509
FBgn0000153	22	27	26	22	28	15	34
FBgn0000157	0	0	0	1	2	0	0
FBgn0000158	8	8	6	8	12	3	3
FBgn0000163	969	1141	819	810	1322	860	765
FBgn0000171	7113	8745	6140	5803	8833	6076	5356
FBgn0000173	2360	2048	1533	1832	2381	969	1384
FBgn0000179	3	0	2	0	3	1	0
FBgn0000180	28	52	31	24	29	23	21
FBgn0000181	15711	15554	11196	14007	24722	9015	11436
FBgn0000182	3	5	3	4	6	2	5
FBgn0000183	3729	3302	2680	3369	4357	2208	2397
FBgn0000206	0	0	0	0	0	0	0
FBgn0000210	1727	2134	1627	1471	2448	1413	1261
FBgn0000212	3986	4464	3373	3464	5202	2418	2478
FBgn0000216	0	0	0	0	0	0	1
FBgn0000221	216	247	160	227	311	143	195
FBgn0000227	0	0	0	0	0	0	0
FBgn0000228	847	1031	808	869	1382	707	693
FBgn0000229	1710	1041	992	1494	1788	933	981
FBgn0000233	1	1	4	0	5	2	4
FBgn0000239	3677	3163	2786	3590	4111	2336	2472
FBgn0000241	10	15	3	3	17	5	11
FBgn0000242	189	228	179	191	252	132	132
FBgn0000244	594	514	403	633	875	465	404
FBgn0000246	411	183	164	243	405	141	115
FBgn0000247	2856	3390	2660	3145	4376	2520	2361
FBgn0000250	2737	2896	2670	2687	4380	2195	2276
FBgn0000251	2	2	2	0	1	2	1
FBgn0000253	18685	11739	11013	14824	20429	7489	8203
FBgn0000256	2285	2231	1889	2369	4675	2191	2138
FBgn0000257	816	1061	741	715	1040	579	660
FBgn0000258	2297	1085	671	1556	2012	567	608
FBgn0000259	3781	2011	1943	2688	5179	1575	1663
FBgn0000261	2000	2219	1848	1989	2945	1645	1651
FBgn0000273	2765	2306	1774	1897	4021	1761	1583
FBgn0000274	0	0	0	0	0	0	0
FBgn0000276	178	85	99	207	191	48	43
FBgn0000277	35	37	23	63	33	21	32
FBgn0000278	51	40	47	83	81	46	57
FBgn0000279	172	96	82	117	158	59	67
FBgn0000280	1	1	0	0	0	1	0
FBgn0000281	1	2	0	3	1	1	0
FBgn0000283	4371	4404	3112	3959	6827	2641	2799
FBgn0000286	440	471	390	569	954	430	424
FBgn0000287	0	0	2	0	2	0	1
FBgn0000289	4215	4508	4137	5098	6405	3731	3758
FBgn0000299	72488	89602	58871	40876	65576	34772	33242
FBgn0000303+FBgn0015323	8	1	3	3	5	2	2
FBgn0000308	26960	18181	21155	21046	36031	14226	16199
FBgn0000313	67	67	75	66	98	51	56
FBgn0000316+FBgn0259722	628	472	376	499	653	239	287
FBgn0000317	2017	1755	1242	2004	2345	1144	1154
FBgn0000318	1291	1174	1366	1161	1660	694	950
FBgn0000319	17829	18872	12678	18091	19195	10458	11161
FBgn0000320	0	3	0	1	0	1	1
FBgn0000326	370	388	258	274	438	215	207
FBgn0000330+FBgn0027106	406	446	487	540	461	352	413
FBgn0000337	33	23	20	23	25	21	23
FBgn0000338	2682	2307	1896	1389	3004	1579	1402
FBgn0000339	1215	687	711	1218	1251	526	695
FBgn0000346	143	148	132	98	114	54	50
FBgn0000351	56	48	46	28	43	28	38
FBgn0000352	1104	1087	740	857	1234	652	640
FBgn0000355	1	0	0	1	2	0	0
FBgn0000356	0	0	0	0	0	0	0
FBgn0000357	4	3	4	2	6	3	3
FBgn0000358	0	0	0	0	1	0	0
FBgn0000359	1	0	0	1	1	1	0
FBgn0000360	0	1	0	0	0	0	2
FBgn0000363+FBgn0259934	481	537	454	338	990	560	500
FBgn0000370	17038	12744	10590	16375	20780	8287	10105
FBgn0000376	1433	1792	1296	1194	1872	1066	1166
FBgn0000377	1036	1165	869	840	1246	632	697
FBgn0000382	971	891	755	744	1266	750	739
FBgn0000384	992	740	542	1156	936	409	451
FBgn0000394	736	694	672	832	1026	626	674
FBgn0000395	595	506	394	409	1030	554	434
FBgn0000404	3769	3095	2717	3304	4169	2187	2267
FBgn0000405	3961	3573	2946	2783	3252	1622	1589
FBgn0000406	117	107	126	234	653	315	475
FBgn0000409	5072	4995	3578	5298	7527	2733	3508
FBgn0000411	0	0	0	0	0	0	0
FBgn0000412	4329	4031	2927	2658	5025	2166	2390
FBgn0000413	2885	3465	2446	2226	3489	2276	2112
FBgn0000414	2630	2646	2173	3100	3791	1982	2039
FBgn0000422	12	4	9	3	10	8	4
FBgn0000426	957	842	671	650	1158	357	496
FBgn0000427	0	0	0	0	0	0	1
FBgn0000439	0	0	0	0	0	0	0
FBgn0000442	6	1	7	2	5	3	2
FBgn0000447	977	876	635	508	810	326	429
FBgn0000448	9	9	11	4	7	6	7
FBgn0000449	0	0	0	0	0	0	0
FBgn0000451	1	0	1	1	2	0	0
FBgn0000454	3079	3527	2966	3335	4218	2159	2517
FBgn0000455+FBgn0065087	623	707	487	594	777	477	559
FBgn0000459	7	10	3	2	5	1	7
FBgn0000463	1	1	3	1	0	1	1
FBgn0000464	2013	2034	1585	1746	2702	1532	1356
FBgn0000472	3549	2714	2079	1876	5734	2063	1918
FBgn0000473	15	26	15	11	33	11	12
FBgn0000477	0	2	3	1	1	3	3
FBgn0000479	970	1071	909	1084	1555	785	868
FBgn0000482	1054	1400	1065	1160	1542	797	896
FBgn0000489	146	152	129	119	151	97	102
FBgn0000490	336	340	229	104	244	119	117
FBgn0000492	0	1	0	1	1	0	1
FBgn0000497	0	0	0	8	6	2	0
FBgn0000499	1055	1269	989	894	1439	802	799
FBgn0000500	4	10	7	3	4	1	4
FBgn0000504	31	9	1	9	18	0	2
FBgn0000520	577	853	673	602	747	448	539
FBgn0000524	1157	1435	950	828	1186	645	680
FBgn0000527	116	166	95	167	208	149	154
FBgn0000529	0	0	2	2	1	0	0
FBgn0000533	11	7	9	1	16	3	7
FBgn0000535	147	150	132	143	343	218	181
FBgn0000536	1396	1059	838	1343	1510	646	721
FBgn0000541	8322	5473	3791	6211	10440	3936	3438
FBgn0000542	179	213	149	93	236	126	123
FBgn0000543	744	980	840	680	1000	505	584
FBgn0000546	1168	1123	775	882	1595	818	736
FBgn0000547	523	470	453	221	462	302	258
FBgn0000551	0	4	1	1	3	2	0
FBgn0000552	0	0	0	0	0	0	0
FBgn0000556	211767	236861	167047	229207	330418	133057	168850
FBgn0000557	108	49	49	40	76	28	34
FBgn0000559	129077	139101	109255	123832	158109	80732	97656
FBgn0000560	0	0	1	0	3	0	0
FBgn0000562	1713	1857	1394	1703	2577	1313	1188
FBgn0000564	0	0	0	0	0	0	0
FBgn0000565	966	1009	990	509	876	408	546
FBgn0000566	963	1233	645	890	1128	424	600
FBgn0000567	189	191	110	313	480	296	271
FBgn0000568	3910	4236	3101	2262	6326	3756	3083
FBgn0000575	2682	1598	1269	1195	2260	999	879
FBgn0000576	0	0	0	0	0	0	0
FBgn0000577	0	0	0	0	1	0	1
FBgn0000578	6748	5808	5520	6910	11338	6042	5351
FBgn0000579	11463	14111	9739	7558	11094	5648	6270
FBgn0000581	3830	4354	2954	3556	5618	3084	2777
FBgn0000588	364	458	309	432	568	282	330
FBgn0000591	0	0	0	1	0	0	0
FBgn0000592	6	0	4	7	2	2	2
FBgn0000594	36	16	12	18	29	22	21
FBgn0000606	0	4	0	1	1	2	0
FBgn0000611	1877	1603	1336	1966	2600	1157	1338
FBgn0000615	579	477	325	624	541	244	305
FBgn0000617	888	1132	928	894	989	711	853
FBgn0000618	201	192	159	134	225	68	124
FBgn0000625	0	0	1	1	0	0	0
FBgn0000629	1244	1365	1296	1524	1704	1114	1118
FBgn0000630	16	36	18	6	30	27	28
FBgn0000633	42	34	44	14	31	18	17
FBgn0000634	607	574	546	490	554	341	304
FBgn0000635	183	230	216	55	230	156	137
FBgn0000636	65	51	41	47	91	49	52
FBgn0000639	0	0	1	2	1	0	2
FBgn0000640	1	0	2	0	9	0	0
FBgn0000644	5	1	6	9	10	7	6
FBgn0000658	5	6	3	4	5	2	1
FBgn0000659	3	3	2	1	3	0	1
FBgn0000662	1468	1349	1102	1388	2106	1026	1008
FBgn0000667	1493	1976	1668	1613	2262	1550	1622
FBgn0000709	2636	2659	1947	2256	3591	1941	1879
FBgn0000711	1688	1213	1111	1288	1802	843	992
FBgn0000715	1	0	0	0	1	0	0
FBgn0000719	2441	2337	1857	2051	3293	1700	1554
FBgn0000721	1292	1286	1050	1029	1486	854	829
FBgn0000723	2658	2401	2580	2380	3529	2276	2206
